trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,3,-47.805002078716136,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-23.178934413666077,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,-8.926292100111937,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-251.45106383619742,"{0: 11, 1: 3, 2: 5, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-49.47439710881116,"{0: 26, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-168.37524078059,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-52.89782981058631,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,3,-60.127322037913615,"{0: 16, 1: 4, 2: 0, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-112.70306659340896,"{0: 15, 1: 1, 2: 5, 3: 4, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,10.73789687222313,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,25.037379638265726,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,14,-4.287830582872896,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-14.13499780714735,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,5,-26.63036023336241,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,12,17.790116682568392,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-66.19508309184081,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,3.539726428935734,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,10,32.3005214656007,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,9.257314984951613,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,16,-24.16344604321598,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,13,12.569362041185414,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,10.26630273567292,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,42.02354956816474,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,21.044265300663515,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,22,16.45905321907033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,9,-1.094965939843195,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,11,15.851758084457291,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,1,39.29132740840756,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,10.271451279643431,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,10,29.57895621823519,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
