trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9851119396030626}",25,0,-163.02892115982579,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.3, 'e': 0.9704455335485082}",20,13,-42.947434656510794,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.3, 'e': 0.9559974818331}",20,0,-120.52825649518986,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.9417645335842487}",20,3,-98.39215554269141,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 1}",1
5,False,"{'a': 0.3, 'e': 0.9277434863285529}",25,0,-39.27569553603426,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.9139311852712282}",35,0,-220.50020489115934,"{0: 19, 1: 4, 2: 6, 3: 4, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9003245225862656}",20,0,-104.08660113461357,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.3, 'e': 0.8869204367171575}",20,0,-91.10200682239615,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.8737159116880344}",20,0,-62.068380327127684,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.8607079764250578}",30,0,-111.11199901574977,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.8478937040879159}",30,0,-131.99924388604646,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.835270211411272}",25,0,-124.79081318644373,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.8228346580560184}",30,0,-99.7716284941177,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
