trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-55.42496693834729,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-70.6028198847811,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,12,-151.90166139581524,"{0: 7, 1: 2, 2: 5, 3: 3, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-169.05330251917383,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-57.59013470410001,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-130.14090665928697,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-115.81680807038572,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-259.0358547182578,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-135.90743238637552,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-36.805457637522366,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-70.83316010655953,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-168.47250204919408,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-92.01741611425462,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-116.63453383375138,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-237.66496551056716,"{0: 16, 1: 0, 2: 8, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-144.2162409681351,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-238.8408269955313,"{0: 12, 1: 6, 2: 6, 3: 4, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-126.73520974461314,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-46.133150567696035,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-89.96291646392065,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-96.43764851433924,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-120.67728203503034,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-99.62294080018042,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-62.24929637659497,"{0: 21, 1: 5, 2: 2, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-156.2116175675421,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,0,-269.7291205125636,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 5}",0
7,True,"{'a': 0, 'e': 0}",25,0,-116.3926300732707,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-100.00645858645944,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-113.2004020802462,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-120.48054458412523,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
